session,timestamp,frame_path,FL,FR,FW,BC,LS,RS,gps_valid,gps_speed,gps_heading,drive,steer,speed,prev_action,action_label,action_name,yolo_person,yolo_object,yolo_area,yolo_pos,yolo_count
20260420_183543,1776692416.0897293,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_049b4484.jpg,9.0,17.2,59.6,81.8,112.9,77.2,0,0.0,0.0,STOP,STEER_STOP,50,4,4,STOP,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692416.301772,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_fdd683f9.jpg,9.0,17.2,59.6,81.8,112.9,77.2,0,0.0,0.0,STOP,STEER_STOP,50,4,4,STOP,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692416.5118554,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_1dd6ed6b.jpg,9.0,17.2,59.6,87.9,112.9,77.2,0,0.0,0.0,STOP,STEER_STOP,50,4,4,STOP,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692416.7264369,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_4dc123fe.jpg,9.0,17.2,59.6,87.9,112.9,72.9,0,0.0,0.0,STOP,STEER_STOP,50,4,4,STOP,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692416.9364283,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_08f73020.jpg,9.0,17.2,59.6,87.9,112.9,72.9,0,0.0,0.0,STOP,STEER_STOP,50,4,4,STOP,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692417.1477911,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_47ea102c.jpg,9.0,17.2,59.6,87.9,112.9,72.9,0,0.0,0.0,STOP,STEER_STOP,50,4,4,STOP,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692417.3595402,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_599dd894.jpg,9.0,17.2,59.6,91.9,112.9,72.8,0,0.0,0.0,STOP,STEER_STOP,50,4,4,STOP,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692417.569979,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_ca29958f.jpg,9.0,17.2,59.6,91.9,112.9,72.8,0,0.0,0.0,STOP,STEER_STOP,50,4,4,STOP,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692417.780199,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_31d10b55.jpg,9.0,17.2,59.6,91.9,112.9,72.8,0,0.0,0.0,STOP,STEER_STOP,50,4,4,STOP,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692417.9911065,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_ff1cb2af.jpg,9.0,17.2,59.6,84.3,112.9,72.8,0,0.0,0.0,STOP,STEER_STOP,50,4,4,STOP,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692418.201362,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_643f9f07.jpg,9.0,17.2,59.6,84.3,112.9,71.6,0,0.0,0.0,STOP,STEER_STOP,50,4,4,STOP,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692418.4121354,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_0b3dbffc.jpg,9.0,17.2,59.6,84.3,112.9,71.6,0,0.0,0.0,STOP,STEER_STOP,50,4,4,STOP,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692418.6227028,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_a3c809d7.jpg,9.0,17.2,59.6,84.3,112.9,71.6,0,0.0,0.0,STOP,STEER_STOP,50,4,4,STOP,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692418.8336482,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_585e9fa0.jpg,9.0,17.2,59.6,90.1,112.9,71.6,0,0.0,0.0,BACKWARD,STEER_STOP,50,4,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692419.051252,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_bcadba20.jpg,9.0,17.2,59.6,90.1,112.9,71.8,0,0.0,0.0,BACKWARD,STEER_STOP,50,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692419.261613,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_70a31e85.jpg,9.0,17.2,59.6,90.1,112.9,71.8,0,0.0,0.0,BACKWARD,STEER_STOP,50,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692419.4758563,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_4f7bc59c.jpg,9.0,17.2,48.4,90.1,112.9,71.8,0,0.0,0.0,BACKWARD,STEER_STOP,50,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692419.6902378,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_cf121d69.jpg,9.0,17.2,48.4,151.0,112.9,71.8,0,0.0,0.0,BACKWARD,STEER_STOP,50,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692419.9033291,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_3d1a186a.jpg,9.0,17.2,48.4,151.0,112.9,71.8,0,0.0,0.0,BACKWARD,STEER_STOP,50,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692420.1138003,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_1ff4a55a.jpg,9.0,17.2,48.4,151.0,112.9,71.8,0,0.0,0.0,BACKWARD,STEER_STOP,50,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692420.3236732,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_f01fffcd.jpg,9.0,17.2,51.2,151.0,112.9,71.8,0,0.0,0.0,BACKWARD,STEER_STOP,50,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692420.5343006,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_fcfb3f4b.jpg,9.0,17.2,51.2,105.5,112.9,71.8,0,0.0,0.0,BACKWARD,STEER_STOP,50,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692420.7446506,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_87cf4464.jpg,9.0,17.2,51.2,105.5,112.9,71.8,0,0.0,0.0,BACKWARD,STEER_STOP,50,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692420.9543462,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_695fbced.jpg,9.0,17.2,51.2,105.5,112.9,71.8,0,0.0,0.0,BACKWARD,RIGHT,50,0,3,TURN_RIGHT,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692421.1668658,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_7f5a29d9.jpg,9.0,17.2,53.7,135.1,112.9,71.8,0,0.0,0.0,BACKWARD,STEER_STOP,50,3,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692421.378824,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_b6ccab93.jpg,9.0,17.2,53.7,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,50,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692421.5910192,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_c8917b86.jpg,9.0,17.2,53.7,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,50,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692421.802291,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_025a5b5b.jpg,9.0,17.2,53.7,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,50,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692422.0120552,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_e0568704.jpg,9.0,17.2,57.3,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,50,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692422.2224116,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_6b6c5453.jpg,9.0,17.2,57.3,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,50,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692422.4326258,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_f9099d62.jpg,9.0,17.2,57.3,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,50,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692422.6424148,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_6c4b197f.jpg,9.0,17.2,57.3,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,50,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692422.8520825,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_b477a35f.jpg,9.0,17.2,47.7,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,65,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692423.062646,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_53d61dd9.jpg,9.0,17.2,47.7,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,70,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692423.272215,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_f65f1e18.jpg,9.0,17.2,47.7,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,70,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692423.482737,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_cd5bcf75.jpg,9.0,17.2,47.7,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,70,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692423.692725,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_c573c114.jpg,9.0,17.2,52.3,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,70,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692423.9029388,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_76a269c2.jpg,9.0,17.2,52.3,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,70,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692424.1184337,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_27590c5a.jpg,9.0,17.2,52.3,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,70,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692424.327811,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_ba69ab72.jpg,9.0,17.2,68.6,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,70,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692424.5379755,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_6740fb27.jpg,9.0,17.2,68.6,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,70,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692424.7469668,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_a9c236cb.jpg,9.0,17.2,68.6,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,70,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692424.9557135,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_5fe1446c.jpg,9.0,17.2,68.6,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,70,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692425.1653364,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_9800e1fc.jpg,9.0,17.2,55.4,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,70,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692425.3753598,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_98b8ea9e.jpg,9.0,17.2,55.4,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,70,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692425.5845983,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_6b660e5b.jpg,9.0,17.2,55.4,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,70,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692425.7947826,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_aa931302.jpg,9.0,17.2,55.4,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,70,0,0,FORWARD,0.0,1.0,0.0028485761036507835,0.0,1.0
20260420_183543,1776692426.004254,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_b86b736b.jpg,9.0,17.2,57.5,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,RIGHT,70,0,3,TURN_RIGHT,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692426.2140243,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_1d61b49d.jpg,9.0,17.2,57.5,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,70,3,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692426.423337,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_b9de6cfe.jpg,9.0,17.2,57.5,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,RIGHT,70,0,3,TURN_RIGHT,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776692426.6329098,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_4181a6c9.jpg,9.0,17.2,57.5,135.1,112.9,56.3,0,0.0,0.0,BACKWARD,STEER_STOP,70,3,0,FORWARD,0.0,0.0,0.0,1.0,0.0
