session,timestamp,frame_path,FL,FR,FW,BC,LS,RS,gps_valid,gps_speed,gps_heading,drive,steer,speed,prev_action,action_label,action_name,yolo_person,yolo_object,yolo_area,yolo_pos,yolo_count
20260429_165956,1777466158.8321738,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260429_165956_11589f11.jpg,71.9,112.6,93.4,147.1,144.4,347.3,0,0.0,0.0,BACKWARD,STEER_STOP,60,3,0,FORWARD,0.0,1.0,0.0248023924903827,1.0,6.0
20260420_183543,1776694154.6406217,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_a4c39ad6.jpg,24.8,60.1,23.5,68.6,113.2,163.9,0,0.0,0.0,STOP,STEER_STOP,25,7,4,STOP,0.0,0.0,0.0,1.0,0.0
20260429_165956,1777466665.5095794,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260429_165956_186e237b.jpg,226.2,223.1,151.3,56.8,65.9,71.4,0,0.0,0.0,STOP,STEER_STOP,50,4,4,STOP,0.0,0.0,0.0,1.0,0.0
20260429_165956,1777466970.8262544,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260429_165956_d8ac772e.jpg,36.2,26.0,67.9,89.0,295.9,309.1,0,0.0,0.0,BACKWARD,STEER_STOP,100,0,0,FORWARD,0.0,0.0,0.0,1.0,0.0
20260429_165956,1777466448.6813724,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260429_165956_7ffac079.jpg,158.7,276.4,99.3,171.9,64.8,210.6,0,0.0,0.0,BACKWARD,STEER_STOP,40,0,0,FORWARD,0.0,1.0,0.3984374424760851,0.0,4.0
20260429_165956,1777466754.8756924,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260429_165956_f8244a61.jpg,59.8,51.4,66.0,18.1,69.6,90.4,0,0.0,0.0,STOP,STEER_STOP,100,4,4,STOP,1.0,1.0,0.5097156490241711,2.0,1.0
20260420_183543,1776693344.3711903,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_387e9079.jpg,53.5,89.8,55.3,86.5,79.2,116.8,0,0.0,0.0,BACKWARD,STEER_STOP,25,1,1,SLOW_DOWN,0.0,0.0,0.0,1.0,0.0
20260429_165956,1777464799.826883,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260429_165956_210a0b5d.jpg,100.8,60.0,37.8,78.5,84.4,282.9,0,0.0,0.0,STOP,STEER_STOP,80,4,4,STOP,1.0,1.0,0.4242721524947168,2.0,4.0
20260420_183543,1776693942.695291,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_dfc458af.jpg,167.2,171.7,173.8,56.7,62.4,308.0,0,0.0,0.0,STOP,STEER_STOP,40,4,4,STOP,0.0,0.0,0.0,1.0,0.0
20260420_183543,1776694778.2840686,/home/shehriyar-ali-rustam/FYP Resources/vehicle_control/laptop/data/images/20260420_183543_b95beef5.jpg,105.5,83.6,188.4,121.0,90.6,77.1,0,0.0,0.0,STOP,STEER_STOP,100,2,4,STOP,0.0,0.0,0.0,1.0,0.0
